Past,EVT,ACRES
Past Grassland,Agricultural,9652
Past Grassland,Conifer-Hardwood,250
Past Grassland,Developed,3784
Past Grassland,Exotics,4231
Past Grassland,Grassland,608
Past Grassland,Hardwood,875
Past Grassland,Riparian,1882
Past Hardwood,Agricultural,2138
Past Hardwood,Conifer-Hardwood,112
Past Hardwood,Developed,1408
Past Hardwood,Exotics,904
Past Hardwood,Grassland,94
Past Hardwood,Hardwood,1265
Past Hardwood,Riparian,201
Past Riparian,Agricultural,2
Past Riparian,Conifer-Hardwood,1
Past Riparian,Developed,11
Past Riparian,Exotics,5
Past Riparian,Hardwood,0
Past Riparian,Riparian,12
